message_id,customer_id,text,language,issue_type,churn_signal
M0166,FB1195,mera card foreign mein decline ho gaya. main service se pareshan hoon.,hi,Card_Services,Medium
M0007,FB1186,how do I close my salary account. I have already resigned and am moving back home.,en,Account_Closure,High
M0112,FB1069,We are relocating for good. refund the hidden fee please.,en,Fees_Charges,High
M0173,FB1159,my card was declined abroad. Just checking.,en,Card_Services,Low
M0116,FB1097,We are relocating for good. these charges are unfair.,en,Fees_Charges,High
M0184,FB1123,سأغادر الإمارات الشهر القادم. لا يصلني رمز التحقق.,ar,App_Technical,High
M0200,FB1036,app baar baar crash ho raha hai. main service se pareshan hoon.,hi,App_Technical,Medium
M0236,FB1060,what are the branch timings. I am very frustrated with the service lately.,en,General_Query,Medium
M0010,FB1221,كيف أغلق حساب الراتب الخاص بي. سأغادر الإمارات الشهر القادم.,ar,Account_Closure,High
M0031,FB1121,Just checking. what documents are needed to close accounts.,en,Account_Closure,Low
M0061,FB1026,أحتاج تحويل أموالي إلى الخارج. مجرد استفسار.,ar,Remittance_Transfer,Low
M0219,FB1095,كيف أحدث الهوية الإماراتية. نحن ننتقل نهائيا.,ar,General_Query,High
M0227,FB1060,We are relocating for good. how do I update my Emirates ID.,en,General_Query,High
M0160,FB1057,dismayado ako sa serbisyo. na-decline ang card ko sa abroad.,tl,Card_Services,Medium
M0069,FB1037,kailangan kong ipadala ang pera ko sa Pilipinas. nagtatanong lang po.,tl,Remittance_Transfer,Low
M0149,FB1047,نحن ننتقل نهائيا. أريد إيقاف بطاقتي المفقودة.,ar,Card_Services,High
M0197,FB1075,laging nagko-crash ang app. dismayado ako sa serbisyo.,tl,App_Technical,Medium
M0016,FB1016,I am very frustrated with the service lately. I want to close my account.,en,Account_Closure,Medium
M0102,FB1140,my EMI is too high now. No rush at all.,en,Loan_Mortgage,Low
M0025,FB1195,I want to close my account. Appreciate your help.,en,Account_Closure,Low
M0087,FB1178,I may have to make some big decisions soon. my EMI is too high now.,en,Loan_Mortgage,Medium
M0020,FB1035,main service se pareshan hoon. salary account kaise band hoga.,hi,Account_Closure,Medium
M0118,FB1120,these charges are unfair. I have already resigned and am moving back home.,en,Fees_Charges,High
M0125,FB1050,هذه الرسوم غير عادلة. أنا محبط جدا من الخدمة.,ar,Fees_Charges,Medium
M0034,FB1115,paano isara ang aking account. nagtatanong lang po.,tl,Account_Closure,Low
M0243,FB1162,شكرا مقدما. ما هي أوقات عمل الفرع.,ar,General_Query,Low
M0187,FB1207,I cannot see my statements online. This is my final month here.,en,App_Technical,High
M0220,FB1226,This is my final month here. what are the branch timings.,en,General_Query,High
M0011,FB1093,how do I close my salary account. This is my final month here.,en,Account_Closure,High
M0163,FB1126,I need to block my lost card. I am very frustrated with the service lately.,en,Card_Services,Medium
M0141,FB1135,مجرد استفسار. هذه الرسوم غير عادلة.,ar,Fees_Charges,Low
M0097,FB1001,what happens to my loan if I leave the UAE. Just checking.,en,Loan_Mortgage,Low
M0126,FB1197,Things are uncertain for my family. refund the hidden fee please.,en,Fees_Charges,Medium
M0083,FB1147,I am leaving the UAE next month. my EMI is too high now.,en,Loan_Mortgage,High
M0214,FB1123,the app keeps crashing when I log in. Appreciate your help.,en,App_Technical,Low
M0026,FB1129,I want to close my account. Appreciate your help.,en,Account_Closure,Low
M0110,FB1090,lilipat na kami nang tuluyan. bakit may bayad na ganito.,tl,Fees_Charges,High
M0019,FB1109,what documents are needed to close accounts. I am very frustrated with the service lately.,en,Account_Closure,Medium
M0206,FB1168,لا يصلني رمز التحقق. شكرا مقدما.,ar,App_Technical,Low
M0183,FB1214,the app keeps crashing when I log in. I have already resigned and am moving back home.,en,App_Technical,High
M0068,FB1176,أحتاج تحويل أموالي إلى الخارج. شكرا مقدما.,ar,Remittance_Transfer,Low
