message_id,customer_id,text,language,issue_type,churn_signal
U0112,FB1052,"kya bank chhutti ke din khula rehta hai. meri family wapas ja chuki hai, main bhi jald jaunga.",hi,General_Query,High
U0102,FB1077,Everything feels up in the air for us right now. the mobile banking keeps logging me out every minute.,en,App_Technical,Medium
U0077,FB1201,my credit card stopped working at the supermarket today. My family has already flown home and I follow soon.,en,Card_Services,High
U0080,FB1235,Everything feels up in the air for us right now. someone may have stolen my card details please help.,en,Card_Services,Medium
U0041,FB1189,pwede bang bayaran ko nang buo ang utang ko bago umalis. nakauwi na ang pamilya ko at susunod na ako.,tl,Loan_Mortgage,High
U0023,FB1106,I am winding down everything here before we go. why is my money transfer stuck since yesterday.,en,Remittance_Transfer,High
U0042,FB1007,"meri naukri khatam ho gayi, hum desh chhod rahe hain. kya main jaane se pehle apna loan chuka sakta hoon.",hi,Loan_Mortgage,High
U0050,FB1184,har mahine ki kist ab bahut mushkil ho gayi hai. aapka din shubh ho.,hi,Loan_Mortgage,Low
U0006,FB1138,My employer has ended my contract so we are packing up. please tell me the procedure to shut down all my accounts.,en,Account_Closure,High
U0094,FB1225,"mobile banking baar baar logout kar raha hai. meri family wapas ja chuki hai, main bhi jald jaunga.",hi,App_Technical,High
U0099,FB1000,sa totoo lang iniisip ko kung itutuloy ko pa dito. ayaw magbukas ng transaction history sa app.,tl,App_Technical,Medium
U0053,FB1089,kya main jaane se pehle apna loan chuka sakta hoon. bas jaanna tha.,hi,Loan_Mortgage,Low
U0087,FB1135,my credit card stopped working at the supermarket today. Many thanks.,en,Card_Services,Low
U0067,FB1228,statement mein aisa charge hai jo maine approve nahi kiya. bas jaanna tha.,hi,Fees_Charges,Low
U0121,FB1234,gusto ko lang malaman. bukas ba ang bangko sa holiday.,tl,General_Query,Low
U0092,FB1087,"app mein transaction history nahi khul rahi. meri family wapas ja chuki hai, main bhi jald jaunga.",hi,App_Technical,High
U0066,FB1136,كل شيء غير واضح بالنسبة لنا الآن. يوجد خصم في كشف حسابي لم أوافق عليه.,ar,Fees_Charges,Medium
U0014,FB1107,I wish to terminate my banking relationship with you. Just wanted to ask.,en,Account_Closure,Low
U0124,FB1059,هل البنك مفتوح في العطلة الرسمية. أتمنى لكم يوما سعيدا.,ar,General_Query,Low
U0027,FB1131,why is my money transfer stuck since yesterday. Honestly I am rethinking whether to keep banking here.,en,Remittance_Transfer,Medium
U0109,FB1000,عائلتي سافرت بالفعل وسألحق بهم قريبا. ما المستندات المطلوبة لتحديث رقم هاتفي.,ar,General_Query,High
U0126,FB1036,gusto ko lang malaman. bukas ba ang bangko sa holiday.,tl,General_Query,Low
U0052,FB1119,pwede bang bayaran ko nang buo ang utang ko bago umalis. magandang araw po.,tl,Loan_Mortgage,Low
U0060,FB1198,your service charges doubled without any notice. My family has already flown home and I follow soon.,en,Fees_Charges,High
U0044,FB1185,القسط الشهري أصبح مستحيلا علي. كل شيء غير واضح بالنسبة لنا الآن.,ar,Loan_Mortgage,Medium
U0016,FB1069,أرغب في إنهاء تعاملي المصرفي معكم. أتمنى لكم يوما سعيدا.,ar,Account_Closure,Low
U0108,FB1115,Have a great day. transaction history will not load on the app.,en,App_Technical,Low
U0021,FB1127,لماذا تأخرت حوالتي المالية منذ الأمس. انتهى عقد عملي وسنغادر البلاد.,ar,Remittance_Transfer,High
U0095,FB1215,My family has already flown home and I follow soon. the mobile banking keeps logging me out every minute.,en,App_Technical,High
U0078,FB1010,My family has already flown home and I follow soon. my credit card stopped working at the supermarket today.,en,Card_Services,High
U0116,FB1124,بصراحة أعيد التفكير في بقائي مع هذا البنك. ما المستندات المطلوبة لتحديث رقم هاتفي.,ar,General_Query,Medium
